Id,Prediction
1,6
2,3
3,4
4,9
5,9
6,0
7,0
8,0
9,1
10,5
11,1
12,4
13,5
14,4
15,0
16,5
17,8
18,9
19,0
20,7
21,8
22,0
23,3
24,7
25,9
26,7
27,7
28,9
29,2
30,6
31,4
32,3
33,0
34,3
35,4
36,7
37,9
38,9
39,0
40,8
41,8
42,1
43,8
44,4
45,6
46,0
47,9
48,8
49,8
50,4
51,7
52,0
53,9
54,7
55,6
56,1
57,8
58,3
59,9
60,7
61,4
62,4
63,1
64,7
65,7
66,9
67,0
68,9
69,6
70,0
71,5
72,4
73,1
74,9
75,2
76,1
77,5
78,3
79,0
80,6
81,4
82,8
83,0
84,5
85,3
86,1
87,8
88,2
89,3
90,0
91,1
92,0
93,6
94,1
95,8
96,2
97,4
98,1
99,1
100,3
101,6
102,4
103,0
104,2
105,5
106,1
107,0
108,0
109,6
110,5
111,4
112,3
113,9
114,2
115,6
116,7
117,8
118,9
119,3
120,2
121,0
122,9
123,9
124,4
125,6
126,3
127,3
128,2
129,1
130,5
131,2
132,4
133,0
134,7
135,6
136,5
137,0
138,8
139,1
140,6
141,4
142,2
143,5
144,2
145,7
146,8
147,9
148,2
149,7
150,8
151,3
152,5
153,3
154,2
155,4
156,1
157,4
158,5
159,6
160,8
161,8
162,7
163,0
164,6
165,6
166,6
167,5
168,0
169,0
170,2
171,7
172,3
173,9
174,1
175,4
176,1
177,9
178,9
179,8
180,7
181,9
182,6
183,7
184,6
185,1
186,2
187,5
188,9
189,3
190,5
191,1
192,8
193,4
194,1
195,7
196,7
197,7
198,1
199,6
200,4
201,8
202,3
203,8
204,0
205,5
206,3
207,0
208,2
209,3
210,0
211,9
212,3
213,8
214,1
215,1
216,0
217,8
218,3
219,7
220,1
221,6
222,9
223,1
224,9
225,0
226,8
227,6
228,3
229,5
230,4
231,6
232,3
233,5
234,5
235,6
236,3
237,4
238,3
239,4
240,6
241,0
242,9
243,0
244,1
245,3
246,8
247,8
248,9
249,7
250,4
251,0
252,7
253,8
254,3
255,3
256,4
257,1
258,7
259,8
260,5
261,8
262,1
263,4
264,9
265,0
266,6
267,3
268,9
269,6
270,8
271,2
272,9
273,0
274,7
275,2
276,0
277,1
278,6
279,0
280,1
281,3
282,6
283,8
284,3
285,0
286,3
287,5
288,5
289,1
290,8
291,1
292,8
293,6
294,1
295,6
296,4
297,5
298,8
299,4
300,7
301,1
302,7
303,7
304,4
305,5
306,8
307,6
308,0
309,1
310,6
311,8
312,2
313,5
314,2
315,0
316,8
317,9
318,4
319,8
320,0
321,8
322,0
323,4
324,9
325,6
326,3
327,0
328,1
329,6
330,0
331,4
332,0
333,1
334,7
335,3
336,0
337,4
338,3
339,0
340,8
341,3
342,4
343,7
344,5
345,5
346,3
347,6
348,7
349,1
350,4
351,6
352,4
353,6
354,6
355,5
356,7
357,3
358,8
359,9
360,9
361,5
362,9
363,5
364,2
365,7
366,2
367,1
368,6
369,0
370,1
371,2
372,6
373,6
374,4
375,0
376,2
377,0
378,6
379,1
380,7
381,3
382,4
383,1
384,5
385,2
386,8
387,1
388,6
389,7
390,8
391,0
392,7
393,8
394,6
395,4
396,3
397,5
398,6
399,2
400,8
401,0
402,2
403,7
404,1
405,9
406,5
407,5
408,6
409,6
410,6
411,8
412,5
413,1
414,8
415,4
416,3
417,4
418,8
419,9
420,9
421,8
422,0
423,7
424,6
425,1
426,5
427,7
428,7
429,4
430,6
431,7
432,0
433,1
434,8
435,0
436,8
437,6
438,1
439,2
440,5
441,5
442,6
443,8
444,4
445,9
446,1
447,6
448,7
449,7
450,4
451,5
452,8
453,7
454,4
455,6
456,6
457,1
458,5
459,2
460,7
461,2
462,9
463,7
464,3
465,5
466,8
467,2
468,5
469,8
470,2
471,9
472,0
473,7
474,7
475,1
476,3
477,7
478,8
479,1
480,4
481,5
482,4
483,4
484,6
485,2
486,3
487,5
488,1
489,3
490,8
491,1
492,4
493,7
494,8
495,6
496,8
497,1
498,5
499,7
500,2
501,7
502,7
503,9
504,1
505,0
506,8
507,6
508,5
509,6
510,1
511,5
512,2
513,1
514,5
515,1
516,2
517,9
518,5
519,2
520,4
521,4
522,3
523,5
524,2
525,2
526,6
527,0
528,2
529,6
530,2
531,6
532,6
533,7
534,3
535,7
536,7
537,9
538,5
539,4
540,1
541,6
542,3
543,3
544,4
545,6
546,2
547,0
548,4
549,1
550,7
551,7
552,6
553,4
554,2
555,6
556,1
557,7
558,1
559,0
560,0
561,5
562,8
563,1
564,5
565,8
566,6
567,9
568,3
569,5
570,2
571,5
572,4
573,4
574,8
575,1
576,8
577,7
578,3
579,6
580,5
581,0
582,0
583,6
584,8
585,6
586,6
587,0
588,1
589,8
590,8
591,5
592,4
593,6
594,7
595,2
596,5
597,9
598,9
599,5
600,8
601,9
602,1
603,5
604,6
605,6
606,0
607,9
608,3
609,9
610,2
611,6
612,5
613,2
614,2
615,2
616,8
617,7
618,0
619,4
620,5
621,3
622,5
623,8
624,1
625,1
626,6
627,4
628,7
629,0
630,0
631,5
632,2
633,6
634,1
635,9
636,8
637,1
638,8
639,7
640,2
641,1
642,7
643,7
644,9
645,8
646,6
647,3
648,8
649,9
650,3
651,9
652,4
653,8
654,5
655,3
656,6
657,0
658,1
659,5
660,0
661,4
662,3
663,0
664,5
665,1
666,9
667,4
668,8
669,7
670,7
671,0
672,4
673,2
674,1
675,7
676,5
677,7
678,9
679,4
680,6
681,0
682,0
683,0
684,9
685,6
686,4
687,2
688,6
689,8
690,1
691,0
692,4
693,3
694,1
695,1
696,0
697,4
698,9
699,0
700,2
701,0
702,6
703,0
704,4
705,9
706,2
707,5
708,1
709,5
710,9
711,5
712,2
713,6
714,5
715,9
716,3
717,0
718,6
719,5
720,4
721,6
722,2
723,4
724,1
725,0
726,9
727,1
728,2
729,4
730,1
731,1
732,9
733,5
734,7
735,8
736,7
737,0
738,2
739,6
740,1
741,8
742,2
743,4
744,0
745,8
746,4
747,9
748,5
749,3
750,0
751,6
752,8
753,1
754,3
755,3
756,5
757,9
758,3
759,9
760,7
761,5
762,1
763,2
764,1
765,4
766,5
767,8
768,9
769,2
770,2
771,7
772,8
773,0
774,8
775,8
776,9
777,7
778,3
779,0
780,2
781,9
782,3
783,6
784,8
785,0
786,5
787,1
788,3
789,7
790,0
791,0
792,1
793,0
794,8
795,6
796,6
797,5
798,2
799,1
800,4
801,0
802,8
803,9
804,2
805,7
806,6
807,5
808,0
809,7
810,7
811,1
812,6
813,8
814,6
815,8
816,8
817,8
818,4
819,0
820,4
821,9
822,4
823,4
824,6
825,6
826,8
827,7
828,5
829,1
830,5
831,5
832,5
833,0
834,5
835,3
836,7
837,7
838,7
839,5
840,8
841,7
842,6
843,6
844,2
845,4
846,8
847,6
848,4
849,0
850,7
851,4
852,5
853,3
854,9
855,3
856,5
857,2
858,0
859,7
860,0
861,5
862,8
863,1
864,7
865,2
866,0
867,1
868,4
869,6
870,1
871,6
872,6
873,7
874,8
875,7
876,2
877,4
878,7
879,5
880,6
881,3
882,3
883,1
884,3
885,6
886,5
887,2
888,6
889,0
890,6
891,7
892,6
893,3
894,8
895,4
896,1
897,3
898,1
899,2
900,0
901,1
902,9
903,0
904,8
905,5
906,6
907,1
908,9
909,4
910,4
911,5
912,9
913,1
914,6
915,1
916,9
917,0
918,7
919,2
920,6
921,5
922,1
923,7
924,9
925,7
926,8
927,7
928,1
929,6
930,3
931,7
932,4
933,7
934,9
935,9
936,3
937,1
938,5
939,2
940,4
941,0
942,6
943,6
944,0
945,6
946,8
947,6
948,3
949,4
950,5
951,1
952,3
953,4
954,1
955,8
956,5
957,0
958,8
959,4
960,4
961,7
962,8
963,6
964,6
965,5
966,9
967,9
968,6
969,6
970,5
971,2
972,4
973,8
974,5
975,1
976,0
977,2
978,0
979,9
980,5
981,1
982,3
983,4
984,1
985,3
986,9
987,4
988,2
989,9
990,8
991,1
992,2
993,2
994,3
995,5
996,1
997,0
998,7
999,7
1000,6
1001,5
1002,7
1003,2
1004,6
1005,0
1006,6
1007,8
1008,8
1009,4
1010,7
1011,6
1012,4
1013,7
1014,8
1015,6
1016,0
1017,2
1018,1
1019,5
1020,9
1021,4
1022,1
1023,3
1024,1
1025,9
1026,8
1027,6
1028,6
1029,8
1030,1
1031,4
1032,0
