gamma_mult_hog,gamma_mult_col,gamma_mult_lbp,lam,acc,std
1.0,1.5,3.0,0.0005,0.5720187436265238,0.01465424577373629
0.75,1.5,3.0,0.0005,0.5706693031008268,0.013500997386971034
0.75,1.5,3.0,0.0001,0.570350997217903,0.014710460340213161
1.0,1.5,3.0,0.0001,0.5696831620270026,0.014497983060829719
1.25,2.0,3.0,0.0001,0.5693563916510321,0.011483663270542916
1.0,2.0,3.0,0.0001,0.5693476081412276,0.013164242953517395
0.75,1.5,3.0,0.001,0.5680014401961804,0.014895705561120232
1.25,1.5,3.0,0.0001,0.5667175355639581,0.017970425020993358
1.0,1.0,3.0,0.0005,0.5666903039789215,0.015342650524335038
1.0,1.5,3.0,0.001,0.5666808229507747,0.012937548574154592
0.75,2.0,3.0,0.0001,0.5663631253960532,0.014754545229094388
0.75,1.0,3.0,0.0001,0.5660480640827328,0.016330823036355257
1.0,1.5,2.0,0.0005,0.5660240999213454,0.0247835021529922
0.75,1.0,3.0,0.0005,0.5660086540490546,0.012149658323757076
1.0,1.0,2.0,0.0001,0.5653574699598265,0.018554949521687316
1.0,1.5,2.0,0.0001,0.5653464086634479,0.023286648965941147
1.0,1.0,3.0,0.0001,0.5650380137565927,0.015772111861526956
1.25,1.5,2.0,0.0001,0.5646763122699968,0.02334156012565907
1.25,1.0,3.0,0.0001,0.564367431393127,0.018307867380802655
0.75,1.0,3.0,0.001,0.5636675003412852,0.017712147977562247
1.0,2.0,4.0,0.0001,0.5633418191065311,0.01451516053591039
1.25,2.0,4.0,0.0001,0.5633345495288642,0.01663757510641235
0.75,1.5,2.0,0.0005,0.5630379643018225,0.024880332685994582
1.25,1.0,3.0,0.0005,0.5626928847928306,0.01794250032935733
1.25,1.5,3.0,0.0005,0.5626919511778485,0.015301745199279716
0.75,1.0,2.0,0.0001,0.5623640979306839,0.018497051746462302
1.25,1.0,2.0,0.0001,0.562356253192862,0.017766273287747672
1.0,2.0,2.0,0.0001,0.562352428306103,0.023562733219069817
1.25,2.0,3.0,0.0005,0.5623389605949405,0.013493863990725469
1.0,2.0,3.0,0.0005,0.5623301044790194,0.010068049986811475
1.0,1.0,2.0,0.0005,0.5620251273650474,0.018134692004723778
0.75,2.0,3.0,0.0005,0.5616735141217788,0.009672229737571795
0.75,1.5,2.0,0.0001,0.5613618923423656,0.02041650956460239
1.0,1.0,3.0,0.001,0.5613524444822658,0.0158392572760069
0.75,2.0,2.0,0.0005,0.5610223912116442,0.01967736271293082
0.75,1.0,2.0,0.001,0.5606872901278368,0.017676655408471405
0.75,1.5,2.0,0.001,0.5603723345886802,0.022790170218853573
1.25,1.0,2.0,0.0005,0.5603445444275122,0.017803146098184446
0.75,2.0,2.0,0.0001,0.5600350946605095,0.02338093514455817
1.25,1.5,4.0,0.0001,0.5600183989637673,0.012571028925706374
1.0,1.5,4.0,0.0005,0.5593367272928763,0.01506517921792564
1.0,1.0,2.0,0.001,0.559033955359362,0.01718260488958292
1.25,2.0,2.0,0.0001,0.5586839680924169,0.023359173418116684
0.75,1.0,2.0,0.0005,0.5586822872070218,0.018489129958764058
1.0,1.5,2.0,0.001,0.558027333140106,0.021485410592321917
1.25,1.5,2.0,0.0005,0.5576872682762526,0.02393419178714177
1.0,1.5,4.0,0.0001,0.5573434220076885,0.016112942486104245
0.75,2.0,4.0,0.0001,0.5573306072197982,0.010165792456651028
0.75,1.5,4.0,0.0005,0.5573278714742557,0.01749016119942227
1.0,2.0,2.0,0.0005,0.5570199968184844,0.022354414736905085
1.25,1.5,3.0,0.001,0.5563506248414004,0.012618046085079083
